for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
29-ene-17,I-026,1,POTmet,"Infraestructura básica (agua, energía y residuos)",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,GIA,,Base,,,,,,,https://drive.google.com/open?id=1vFDi9tGy3NrZ4ooTf8ojayH6pnsN24xu,,,,
30-ene-17,I-027,1,POTmet,Grado de marginación y asentamientos de origen irregular,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1jd1ntsISZ8WMLRMlZtckzAkakUkRy5Em,,,,
31-ene-17,I-028,1,POTmet,Infraestructura territorial ,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Base,,,,,,,https://drive.google.com/open?id=1OHbwPM2y_Gh1-ZK1Jk2PbYDOputt3BvS,,,,
01-feb-17,I-029,1,POTmet,Porcentaje de vivienda desocupada,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,HEM,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1yz-kfWtpxWmCMy_uIn-8S_65LuLJdt_n,,,,
,I-030,1,POTmet,Suelo no construido intraurbano,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1WidaUijeB3Y7iWFXCNJGJff2S0XRFJZ1,,,,
30-mar-20,I-031,2,POTmet,Áreas Naturales Protegidas Marzo 2020,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,Jennifer Zambrano,PRE,,Base,,,,,,,https://drive.google.com/open?id=1ZldIUV_-wCCV7JfRcAkO197C4IhogM1l,,,,
02-feb-17,I-031,1,POTmet,Áreas Naturales Protegidas,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Base,,,,,,,https://drive.google.com/open?id=1Dy9GurgnLn-AmE7Z_G_KdJQwJk99Ii9Q,,,,
30-mar-20,I-031.1,1,POTmet,Áreas Naturales Protegidas Marzo 2020 Nombres,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Jennifer Zambrano,PRE,,Base,,,,,,,https://drive.google.com/open?id=15VHJqjtrJ6Fw4vo8Wlx4RNWrOq2Jlbsj,,,,
03-feb-17,I-032,1,POTmet,Población total,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Base,,,,,,,https://drive.google.com/open?id=1Dy9GurgnLn-AmE7Z_G_KdJQwJk99Ii9Q,,,,
04-feb-17,I-033,1,POTmet,Núcleos agrarios,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Base,,,,,,,https://drive.google.com/open?id=1MUEGAFLdD8RMWc4q4Fi_VlmXkzkGicMQ,,,,
05-feb-17,I-034,1,POTmet,Conflicto de límites municipales,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1nuq1Z3oNDQ4yX9LoIIEgrgFgyQQEttdy,,,,
06-feb-17,I-035,1,POTmet,Densidad de población por manzana,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Base,,,,,,,https://drive.google.com/open?id=15GxmHwWopW_A5_iSJLBBFCeRVRQV6zYn,,,,
07-feb-17,I-036,1,POTmet,Delimitación del Área Metropolitana de Guadalajara,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Base,,,,,,,https://drive.google.com/open?id=1v9K3Y7W6ySvbKNdeIBCRMOfv0P99pfG4,,,,
08-feb-17,I-037,1,POTmet,Área de servicio trasporte público urbano (cobertura),En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1-BQBQfN85GKAtuqrKb6KWx2Ts5OQMmXL,,,,
09-feb-17,I-038,1,POTmet,Aptitud de desarrollo de nueva vivienda,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1nrdtjv9faKQPyi7_AWgxGuX9tr8byM5F,,,,
10-feb-17,I-039,1,POTmet,Índice de suficiencia de servicios básicos,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1nrdtjv9faKQPyi7_AWgxGuX9tr8byM5F,,,,
11-feb-17,I-040,1,POTmet,Índice de deficiencia de servicios básicos,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1-sYZQG7h6XZw5p724IwAQ-ijQ8ZUhySb,,,,
,I-041,1,POTmet,Transporte masivo,En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Base,,,,,,,https://drive.google.com/open?id=1o3xWCfNUCGD0OumtPkfKAOE5pjnZh1EA,,,,
,I-042,1,POTmet,Predios con compatibilidad habitacional (H y M) en corredores de transporte masivo y perímetros de contención urbana,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,DCU,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1WT55CZDlugwwaIb0QFcvKPE-EoYoISrh,,,,
,I-043,1,POTmet,Transporte masivo y perímetros de contención urbana,En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1iLKRDeIPm1pmXQgWKwThfbBmfle7pZES,,,,
,I-044,1,POTmet,Distribución de la población por radio de influencia en torno al transporte masivo,En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1GmeOSyXMb7Q4I3XI39m45Knc1oQD5MFy,,,,
,I-045,1,POTmet,Densidad de vivienda por hectárea entorno al transporte masivo,En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1UOgSDGvr3yu9ZjE15uKo8TUm_rb7wuRo,,,,
,I-046,1,POTmet,Suelo intraurbano entorno al transporte masivo,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,(GTM) Gerencia Técnica de Movilidad.,,POT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1Gyk-LZQivp-EX4pAZMlugPD81nQLrkOi,,,,
,I-047,1,POTmet,Predios con compatibilidad solo habitacional,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,HEM,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1JgOnHxUBC8bGeOAKxXnpCua6K-xAki5g,,,,
,I-048,1,POTmet,Suelo intraurbano y distribución de la población por radio de Influencia en torno al transporte masivo,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,(GTM) Gerencia Técnica de Movilidad.,,HEM,,Diagnóstico,Exportar,,,,,,,,,,
,I-049,1,POTmet,Viviendas habitadas que no disponen de agua entubada,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,HEM,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1O_zocUR9wx1pdbIdvdrkeMypsySbTSsG,,,,
,I-050,1,POTmet,Aptitud de agricultura de riego,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/open?id=15aWho49TW_FuHO8yXGEvBGhNE76L_EOb,,,,
,I-051,1,POTmet,Aptitud de agricultura de temporal,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1Xvg0dwYiuobfyYl5mAnJJYPugkQIvoly,,,,
