for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
26-nov-21,I-890.17,1,Atlas de Riesgos,INTERVENCIONES A CAUCES Y CUERPOS DE AGUA EN EL MUNICIPIO DE EL SALTO (ESTUDIO DE MICROCUENCAS),En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alan Preciado,PMR,,Diagnóstico,,Intervenciones a cauces y cuerpos de agua en las microcuencas Las Pintas y Las Pintitas,MUI,Reservada en proceso de desarrollo,https://docs.google.com/spreadsheets/d/1kuz_bwbxDiJ3Zb9Q1HeDnPb0rZtlNxsn/edit?usp=sharing&ouid=103436249609413212036&rtpof=true&sd=true,https://docs.google.com/document/d/1bbPvW-WjM9KMsNm8QfxZWqJNK-XsReKr1RXMt2rmJDA/edit?usp=sharing,https://drive.google.com/file/d/1CHmv64vb6Hl4v676eweHiSZ-N37cOgHG/view?usp=sharing,,,,
26-nov-21,I-890.18,1,Atlas de Riesgos,EVENTOS HISTÓRICOS DE INUNDACIÓN DEL ATLAS DE RIESGOS DEL ESTADO DE JALISCO,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alan Preciado,PMR,,Diagnóstico,,Atlas de Riesgos del Estado de Jalisco,"Atlas de Riesgos del Estado de Jalisco, 2007",Pública,https://docs.google.com/spreadsheets/d/1xex6tT6LSgAxYErXZ9_YD0qNxkovrRSo/edit?usp=sharing&ouid=103436249609413212036&rtpof=true&sd=true,https://docs.google.com/document/d/1ga-dyTU2ariapPPr7aInlxSW4MSZKoWRirEvzgK-FIE/edit?usp=sharing,https://drive.google.com/file/d/1O9vFFSNLLr0gNkjWJQQ-62oDpQuwHCu9/view?usp=sharing,,,,
26-nov-21,I-890.19,1,Atlas de Riesgos,INVENTARIO DE PELIGROS METROPOLITANO DFERENCIADO POR FUENTES DE INFORMACIÓN (VIMOZmetro Y COMPLEMENTARIAS) DE EL SALTO,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alicia Guzmán,PMR,,Diagnóstico,,Eventos históricos del IPM 2021,,Pública,https://docs.google.com/spreadsheets/d/17dy-BJPrS23RpIl9oKmKBavnyKlnN7dg/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,https://docs.google.com/document/d/1aeMK4Qh-og-ebHHHur-aq7R7Up7Rsx7t/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,https://drive.google.com/file/d/1rN3wQbhuTC0F9gUULvlEk1pTzDbALfPG/view?usp=sharing,,,,
29-nov-21,I-891,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN, EN LA MICROCUENCA DE ATOTONILQUILLO, IXTLAHUACÁN DE LOS MEMBRILLOS",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc A,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1OtYcQf-4wBRX8E112xLMNmVB6Rbg__tU/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1ClLvplXNkZN-lwZXetQJFKeMirU_fUqM/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1R5XM2gIjfJ7UFuWjhBXJ3nCBNr0RaBqH/view?usp=sharing,,,,
29-nov-21,I-891.1,1,Atlas de Riesgos,NIVEL DE RIESGOS ANTE INCENDIO  FORESTAL EN EL MUNICIPIO DE IXTLAHUACÁN DE LOS MEMBRILLOS,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alicia Guzmán,PMR,,Diagnóstico,,,,Pública,https://docs.google.com/spreadsheets/d/19yzzDu7Gqoa1-68KgkbXUPq0Yp4M8bZG/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,https://docs.google.com/document/d/1GjB7Jh6gsFldjrXtlc-_XaIWZugM9g0B/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,https://drive.google.com/file/d/1FyNI12DHyeO5QKivx9E8xNYyMM1ENuqZ/view?usp=sharing,,,,
29-nov-21,I-891.2,1,Atlas de Riesgos,MAPA DE RIESGO ANTE ONDAS DE CALOR (UMBRAL 35°C) MUNICIPIO DE IXTLAHUACÁN DE LOS MEMBRILLOS,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,Riesgo por onda de calor (umbral 35°C),"AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1ncHItbIXy0ekbVCj2yZpXSCEwxArjYI_/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1tXz-g5x_s5GtliecVULHRCB6MxCPMQM5/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1juHFDtz6WrZb9tcll_Qku8yl_g34VWWb/view?usp=sharing,,,,
29-nov-21,I-891.3,1,Atlas de Riesgos,MAPA DE RIESGO ANTE ONDAS DE FRÍO (10°C) PARA IXTLAHUACÁN DE LOS MEMBRILLOS,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alan Preciado,PMR,,Diagnóstico,,Atlas Metropolitano de Riesgo ante ondas de Frío,"AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1qkBPrAdkLBAH5C7ojZutri99QxbbkBJO/edit?usp=sharing&ouid=103436249609413212036&rtpof=true&sd=true,https://docs.google.com/document/d/1qUspYRSxFZKxdk2Iukt_aHeZsK4sby1RlVMBD1rTdCE/edit?usp=sharing,https://drive.google.com/file/d/11vtPN8kwhqRy1S15ydImlvYc7vIq0AYF/view?usp=sharing,,,,
44529,I-891.4,1,Atlas de Riesgos,MAPA DE RIESGO ANTE ONDAS DE CALOR (UMBRAL 30°C) MUNICIPIO DE IXTLAHUACÁN DE LOS MEMBRILLOS,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,Riesgo por onda de calor (umbral 35°C),"AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1h-xE81MTfjb651Ha4S-3XgMy3Si19NWc/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1txnTaiYcn_F2LzDmpsZm4Jev1-ebJubi/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1HhYOoz-FIHbW1IiTPNtRQFri75jxFD_M/view?usp=sharing,,,,
29-nov-21,I-891.5,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN, EN LA MICROCUENCA DE CAJITITLÁN, IXTLAHUACÁN DE LOS MEMBRILLOS",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtemoc Aquiles,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1k7DXA6Isq54EZLv6KgCjHXGzp6Lkob-W/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1TGTkwfC-OUp4Sg7UXrom3x4lU4b_Nxti/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1Pgx37oaiHJJwic8N4c_j30X5XXsRFAvO/view?usp=sharing,,,,
30-nov-21,I-891.7,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN, EN LA MICROCUENCA DE CHAPALA, IXTLHUACÁN DE LOS MEMBRILLOS",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtemoc Aquiles,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1y0JuO5BZAaJ13RP3_7EJrOQxPFYBgZVD/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1kCjhqanjq40E3tVHqhtD39MfquLJeoOp/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1nE8IK1k0q-kUYZkpqH1Ir-fQ4XWG3aHw/view?usp=sharing,,,,
30-nov-21,I-891.8,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN, EN LA MICROCUENCA DE POTRERILLOS, IXTLAHUACÁN DE LOS MEMBRILLOS",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtemoc Aquiles,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1t8McL81B8Vum4S587boBa2U13oQISg1z/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1m6_7k31tngtNkb7KJBuBjMEF-6P2AyRa/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1nyaBDcT5yi3OapXZPCF7uYMdcrkUVFVw/view?usp=sharing,,,,
30-nov-21,I-892,1,Atlas de Riesgos,"RIESGO DE INUNDACIONES DEL MUNICIPIO DE SAN PEDRO TLAQUEPAQUE, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtemoc Aquiles,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1yqreFtkksNmE9jO32e-B9eMQhE209Yoo/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1MPbuOW-F_ApX84UVb8CAuaobFS5FNAqj/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1A85uukF5uq2aJ9lEZL-AgwbwdBGpgg_l/view?usp=sharing,,,,
30-nov-21,I-893,1,POTmet,MAPA ANEXO 1 COBERTURA DE RUTAS DE TRANSPORTE PÚBLICO EN HACIENDA LA NORIA,En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,,,,,,https://docs.google.com/document/d/15uiyP0HUpcet4fBSusXi6Xx_Kdk4Z2zy/edit?usp=sharing&ouid=111149401802428697262&rtpof=true&sd=true,https://drive.google.com/file/d/1ShcVB5XTb_DvzpEjcWdTyaRFgJ3pEOZN/view?usp=sharing,,,,
30-nov-21,I-894.1,1,POTmet,MAPA ANEXO 1.1 COBERTURA DE RUTAS DE TRANSPORTE PÚBLICO EN SANTA FE,En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,,,,,,https://docs.google.com/document/d/1FGJcdUu3kIDOifS-dLwm7YmtSlBLtGts/edit?usp=sharing&ouid=111149401802428697262&rtpof=true&sd=true,https://drive.google.com/file/d/1zP0AJhFg0Hhh65u2m6TIvt-8AgXGu_2P/view?usp=sharing,,,,
30-nov-21,I-894.2,1,POTmet,MAPA ANEXO 1.2 COBERTURA DE RUTAS DE TRANSPORTE PÚBLICO EN SANTA FE,En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,,,,,,https://docs.google.com/document/d/1fV_HQ17C0jQHI6n_74FMYwiKU5oM7k1x/edit?usp=sharing&ouid=111149401802428697262&rtpof=true&sd=true,https://drive.google.com/file/d/1OgoYwdsMb2l2v7UBLBZVko1U7aV2leYl/view?usp=sharing,,,,
30-nov-21,I-894.3,1,POTmet,MAPA ANEXO 1.3 COBERTURA DE RUTAS DE TRANSPORTE PÚBLICO EN SANTA FE,En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,,,,,,https://docs.google.com/document/d/1p3RUTaxzc29sxEMPqrwOauYrlDmzh0P9/edit?usp=sharing&ouid=111149401802428697262&rtpof=true&sd=true,https://drive.google.com/file/d/1IcVdDUADuDa8_ltt9CzuGtIJxi1icJqE/view?usp=sharing,,,,
30-nov-21,I-895,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN EN EL MUNICIPIO DE TONALÁ, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc Aquiles,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1b88PwudN_4eOxnHvHsFz8EiMOGoXNkDn/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1rH-asiyoDItaEHnnhUdrlAtUhSuQOQsB/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1MEj0beM17UlQcLQGfAZ3-dVNFn_ENk_H/view?usp=sharing,,,,
01-dic-21,I-895.1,1,Atlas de Riesgos,"NIVEL DE RIESGO ANTE INCENDIO  FORESTAL EN EL MUNICIPIO DE TONALÁ, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,"Incendios Forestales, Población por manzana, Población por localidad rural",ARM 2021 e INEGI 2020,Pública,https://docs.google.com/spreadsheets/d/14EDzQwD7KoirCSFC_quJP8UTnWW1RcPh/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1ALGwn7i6Ap9OTS3m6PlY29mqO3VMeWQf/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1-Wbx61EsG3GUcUUmuEu5j3JePBqLel2x/view?usp=sharing,,,,
01-dic-21,I-895.2,1,Atlas de Riesgos,"RIESGO ANTE INCENDIO FORESTAL EN TONALÁ Y SU ÁREA DE ATENCIÓN PRIORITARIA, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,"Incendios Forestales, Población por manzana, Población por localidad rural",ARM 2021 e INEGI 2020,Pública,https://docs.google.com/spreadsheets/d/1eYE4uLIkX0giLpCyceRYs6UxmH7ue-sW/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/19YqpI5oSBNiujHalxInAYBNZ_n5VRhXGcrctjqFH430/edit?usp=sharing,https://drive.google.com/file/d/1RWWQ--SAvXJlAjKfwLzLebbpXRp2ZYTn/view?usp=sharing,,,,
30-nov-21,I-895.3,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN , FRACCIONAMIENTO SAN MIGUEL, MUNICIPIO DE TONALÁ, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/14EDzQwD7KoirCSFC_quJP8UTnWW1RcPh/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1dcbxtB-jSTUDDpGgg9YhwPnjVjYfF0qA/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1Syx0d4n9y34VXred34DYwYnCFgx-Kbt6/view?usp=sharing,,,,
30-nov-21,I-895.4,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN , INFONAVIT SOLEDAD, MUNICIPIO DE TONALÁ, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/14EDzQwD7KoirCSFC_quJP8UTnWW1RcPh/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1VnmTL11Lg5v7LN8MsMxFI9eOjkm96akS/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1rIZlFMon3R9uZwI9B9BPcByd6rxv2BeP/view?usp=sharing,,,,
01-dic-21,I-896,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN EN EL MUNICIPIO DE GUADALAJARA, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1FbSKj6BS0Nlv_HMLQB1UqkVEsRxSSbIH/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1ts4EC_3-Q5yV_mPU_kmBZfcTxQn8oLoz/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1fDLEiERZI9CCmFTkTyY_4IaskyyYaR2l/view?usp=sharing,,,,
01-dic-21,I-896.1,1,Atlas de Riesgos,"MAPA RIESGO ANTE INCENDIOS FORESTALES EN EL MUNICIPIO DE GUADALAJARA, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,"Atlas Metropolitano de Riesgo
Aras Naturales Protegidas","AMR, 2021 SEMADET 2020",Pública,https://docs.google.com/spreadsheets/d/1Jn74n60pIZ6szdIBkQjL-wm4jCVIwMVH/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1iLpJYExQk1NUKF2wu5soAsTyZtKJL1Ui/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1ZT9tG8OlGrtYf8QKxgFeBnF3QDoiR-A1/view?usp=sharing,,,,
01-dic-21,I-896.2,1,Atlas de Riesgos,"RIESGOS ANTE INCENDIO FORESTAL EN GUADALAJARA Y SU ÁREA DE ATENCIÓN PRIORITARIA, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,"Atlas Metropolitano de Riesgo
Aras Naturales Protegidas
Población por manzana","AMR, 2021 SEMADET 2020, INEGI 2020",Pública,https://docs.google.com/spreadsheets/d/1MVrYAgsQGmQrXWXYKDlQjTzMG_LI1AVP/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1yKBRc0Z0nFRZI2MijBQ4zNIcE5DJsvGf/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1wDy9pM4GqMMhV3NiK-uHORZnVTGl8C7O/view?usp=sharing,,,,
01-dic-21,I-896.3,1,Atlas de Riesgos,"RIESGO ANTE ONDAS DE CALOR (REFERENCIA 35°C) EN EL MUNICIPIO DE GUADALAJARA, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtemoc Aquiles,PMR,,Diagnóstico,,"Ondas de calor, referencia 35°C AMR
","AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1F7gpueDwHY6XrwrF1U9ZTdwuvYIEfore/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1sBOakkRATePBlaj-wSjArmRHSMGFlcVu/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1Z3qaRW35FYYqeepQORqitrQlszrNOuw1/view?usp=sharing,,,,
01-dic-21,I-896.4,1,Atlas de Riesgos,"RIESGO ANTE ONDAS DE FRIO (10°C) EN EL MUNICIPIO DE GUADALAJARA, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,"Atlas Metropolitano de Riesgo
Poblacion por manazas","AMR, 2021 e INEGI 2020",Pública,https://docs.google.com/spreadsheets/d/1MVrYAgsQGmQrXWXYKDlQjTzMG_LI1AVP/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1qf-Uc-k-oyAwAqaKeybXLP2IEwPjLv57/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1wDy9pM4GqMMhV3NiK-uHORZnVTGl8C7O/view?usp=sharing,,,,
02-dic-21,I-896.5,1,Atlas de Riesgos,"MAPA PRESIÓN EN EL FUNCIONAMIENTO DEL DRENAJE EN EL MUNICIPIO DE GUADALAJARA, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,"Atlas Metropolitano de Riesgo
Cobertura del Drenaje","AMR, 2021 y SIAPA 2015",Pública,https://docs.google.com/spreadsheets/d/1Jn74n60pIZ6szdIBkQjL-wm4jCVIwMVH/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1iLpJYExQk1NUKF2wu5soAsTyZtKJL1Ui/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1ZT9tG8OlGrtYf8QKxgFeBnF3QDoiR-A1/view?usp=sharing,,,,
03-dic-21,I-897,1,Atlas de Riesgos,"NIVEL DE RIESGO, RECURRENTES Y DE MONITOREO DE INUNDACIÓN EN EL MUNICIPIO DE ZAPOPAN, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc Aquiles,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1FockinDoNGR3q5T6cGpA5YHxb-y6QX0B/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/1GkZsGAKXYWyQlFA1-P85_QMrMF7WIkP8/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/112sglQ9cliMrq5PjpHY-kXs1mwkuhWKk/view?usp=sharing,,,,
03-dic-21,I-897.1,1,Atlas de Riesgos,"MAPA PRESIÓN EN EL FUNCIONAMIENTO DEL DRENAJE EN EL MUNICIPIO DE ZAPOPAN, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,"Nivel de riesgo de inundación AMR, 2021
Sitios recurrentes y de monitoreo de inundación,  2021
Límite de microcruenca FIRCO","MUI, 2021
AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/18b059Y0K8-kDi5cTLrxAteNxjvAen8-7/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1txxteIG5hJ-nAVaAccgfKsVhHGXsAiCO/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/14s9VfDSIYMprGNlY0SznRScdZnUoIrML/view?usp=sharing,,,,
03-dic-21,I-897.2,1,Atlas de Riesgos,"RIESGO ANTE ONDAS DE CALOR (UMBRAL 35°C) EN EL MUNICIPIO DE ZAPOPAN, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alan Preciado,PMR,,Diagnóstico,,Atlas Metropolitano de Riesgo ante ondas de calor (umbral 35°C),"AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1TePT7bCYhPJjch2EAecpR1peQk2MU8wd/edit?usp=sharing&ouid=103436249609413212036&rtpof=true&sd=true,https://docs.google.com/document/d/19YqpI5oSBNiujHalxInAYBNZ_n5VRhXGcrctjqFH430/edit?usp=sharing,https://drive.google.com/file/d/1iGeR5H4Y2DrrRmJicZW9W0JzvidqYy93/view?usp=sharing,,,,
03-dic-21,I-897.3,1,Atlas de Riesgos,"NIVEL DE RIESGOS ANTE INCENDIO FORESTAL EN EL MUNICIPIO DE ZAPOPAN, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alicia Guzmán,PMR,,Diagnóstico,,Atlas Metropolitano de Riesgo ante incendio forestal,"AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/1doMve9KPXAVobAk2i57YsrkmGvOj00VE/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,https://docs.google.com/document/d/1MXCeMjwafo3yMwBVSgoEFO2lHAmaUxzq/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,https://drive.google.com/file/d/1cNKKZ5MivifHI0jGenTlk_4VEQE1s3R2/view?usp=sharing,,,,
03-dic-21,I-897.4,1,Atlas de Riesgos,"RIESGO ANTE ONDAS DE FRÍO (MENOS DE 10°C) EN EL MUNICIPIO DE ZAPOPAN, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,Diagnóstico,,"Atlas Metropolitano de Riesgo
Poblacion por manzanas","AMR, 2021 e INEGI, 2020",Pública,https://docs.google.com/spreadsheets/d/16a36hvLuj3xLfqwbdmNpB8Dovrpwx61B/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1SSvj1qzQVctAMPavMZLr8LNZ5-RrNgI8/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1JGm-y9ypSZzBSbQBW3XpQceiJFSJBzAv/view?usp=sharing,,,,
03-dic-21,I-897.5,1,Atlas de Riesgos,RIESGOS ANTE INCENDIO FORESTAL EN ZAPOPAN Y SU ÁREA DE ATENCIÓN PRIORITARIA,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alicia Guzmán,PMR,,Diagnóstico,,Atlas Metropolitano de Riesgo ante incendio forestal,"AMR, 2021",Pública,https://docs.google.com/spreadsheets/d/19zMgmr6wtl69KDyp0JOiXoumeR4pFLEB/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,https://docs.google.com/document/d/1X2QHkjfQiBBuISmf6MXpWKajVBGASuvL/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,https://drive.google.com/file/d/19IUIGddvEWw0LE_iJ8n64M7ButboRbOx/view?usp=sharing,,,,
